0.2 	 0.000352516
0.4 	 0.0027748
0.6 	 0.00911832
0.8 	 0.0208346
1 	 0.0388579
1.2 	 0.0635655
1.4 	 0.0948109
1.6 	 0.132013
1.8 	 0.174281
2 	 0.220537
2.2 	 0.269641
2.4 	 0.320472
2.6 	 0.372002
2.8 	 0.423325
3 	 0.473673
3.2 	 0.522421
3.4 	 0.569077
3.6 	 0.613271
3.8 	 0.65474
4 	 0.693316
4.2 	 0.728915
4.4 	 0.761519
4.6 	 0.79117
4.8 	 0.817956
5 	 0.842001
5.2 	 0.863456
5.4 	 0.882489
5.6 	 0.899283
5.8 	 0.914023
6 	 0.926896
6.2 	 0.938083
6.4 	 0.947761
6.6 	 0.956094
6.8 	 0.963237
7 	 0.969335
7.2 	 0.974518
7.4 	 0.978904
7.6 	 0.982602
7.8 	 0.985705
8 	 0.9883
8.2 	 0.99046
8.4 	 0.992251
8.6 	 0.99373
8.8 	 0.994947
9 	 0.995943
9.2 	 0.996756
9.4 	 0.997416
9.6 	 0.99795
9.8 	 0.99838
10 	 0.998725
10.2 	 0.999001
10.4 	 0.99922
10.6 	 0.999393
10.8 	 0.99953
11 	 0.999638
11.2 	 0.999722
11.4 	 0.999787
11.6 	 0.999838
11.8 	 0.999877
12 	 0.999907
12.2 	 0.99993
12.4 	 0.999948
12.6 	 0.999961
12.8 	 0.999971
13 	 0.999978
13.2 	 0.999984
13.4 	 0.999988
13.6 	 0.999991
13.8 	 0.999994
14 	 0.999995
14.2 	 0.999997
14.4 	 0.999998
14.6 	 0.999998
14.8 	 0.999999
15 	 0.999999
15.2 	 0.999999
15.4 	 0.999999
15.6 	 1
15.8 	 1
16 	 1
16.2 	 1
16.4 	 1
16.6 	 1
16.8 	 1
17 	 1
17.2 	 1
17.4 	 1
17.6 	 1
17.8 	 1
18 	 1
18.2 	 1
18.4 	 1
18.6 	 1
18.8 	 1
19 	 1
19.2 	 1
19.4 	 1
19.6 	 1
19.8 	 1
20 	 1
