        13   0.993479 	  0.956336   0.986297   0.991871   0.939676   0.986086    0.99177 
      13.2   0.992905 	  0.957238   0.984537   0.991158   0.940814    0.98415   0.991048 
      13.4   0.992376 	    0.9581   0.982928   0.990502   0.941911   0.982383   0.990382 
      13.6   0.991888 	  0.958926   0.981454   0.989896   0.942971   0.980767   0.989769 
      13.8   0.991438 	  0.959716   0.980104   0.989337   0.943994   0.979288   0.989202 
        14   0.991022 	  0.960474   0.978866   0.988821   0.944983   0.977934    0.98868 
      14.2   0.990639 	  0.961201    0.97773   0.988345    0.94594   0.976693   0.988198 
      14.4   0.990285 	  0.961899   0.976686   0.987906   0.946866   0.975555   0.987752 
      14.6   0.989959 	   0.96257   0.975728   0.987501   0.947762   0.974511   0.987342 
      14.8   0.989658 	  0.963216   0.974848   0.987127   0.948631   0.973553   0.986963 
        15    0.98938 	  0.963837   0.974039   0.986782   0.949473   0.972674   0.986613 
      15.2   0.989124 	  0.964435   0.973296   0.986463    0.95029   0.971866   0.986291 
      15.4   0.988888 	  0.965012   0.972614    0.98617   0.951083   0.971125   0.985994 
      15.6   0.988671 	  0.965569   0.971987     0.9859   0.951852   0.970445    0.98572 
      15.8   0.988471 	  0.966106   0.971411   0.985652     0.9526   0.969821   0.985468 
        16   0.988287 	  0.966624   0.970883   0.985423   0.953326   0.969249   0.985237 
      16.2   0.988118 	  0.967125   0.970399   0.985214   0.954032   0.968724   0.985024 
      16.4   0.987963 	   0.96761   0.969955   0.985021   0.954719   0.968244    0.98483 
      16.6   0.987822 	  0.968079    0.96955   0.984845   0.955387   0.967805   0.984651 
      16.8   0.987692 	  0.968533   0.969179   0.984684   0.956037   0.967404   0.984488 
        17   0.987574 	  0.968972   0.968841   0.984538    0.95667   0.967039   0.984339 
      17.2   0.987467 	  0.969398   0.968533   0.984404   0.957287   0.966706   0.984204 
      17.4   0.987369 	  0.969811   0.968254   0.984283   0.957888   0.966403   0.984081 
      17.6   0.987281 	  0.970212      0.968   0.984173   0.958473   0.966129    0.98397 
      17.8   0.987201 	  0.970601   0.967772   0.984074   0.959044   0.965882    0.98387 
        18    0.98713 	  0.970979   0.967565   0.983985     0.9596   0.965659    0.98378 
      18.2   0.987066 	  0.971346   0.967381   0.983906   0.960143   0.965459   0.983699 
      18.4   0.987009 	  0.971703   0.967216   0.983835   0.960673    0.96528   0.983627 
      18.6   0.986959 	   0.97205   0.967069   0.983773    0.96119   0.965121   0.983564 
      18.8   0.986915 	  0.972387    0.96694   0.983718   0.961695   0.964981   0.983509 
        19   0.986876 	  0.972715   0.966827    0.98367   0.962188   0.964858   0.983461 
      19.2   0.986844 	  0.973035   0.966729    0.98363   0.962669   0.964752    0.98342 
      19.4   0.986816 	  0.973347   0.966646   0.983596   0.963139   0.964661   0.983385 
      19.6   0.986793 	   0.97365   0.966575   0.983567   0.963599   0.964583   0.983356 
      19.8   0.986775 	  0.973946   0.966517   0.983544   0.964048    0.96452   0.983333 
        20   0.986761 	  0.974235    0.96647   0.983527   0.964487   0.964468   0.983315 
